Key,Japanese,English,Chinese,Korean,French,German,Spanish
meetingMinutes.generatePrompt,テンプレートを設定して【要約開始】をクリックしましょう,Set the template and click “Start Summary”,设置模板后点击【开始摘要】,템플릿을 설정하고 [요약 시작]을 클릭하세요,Définissez le modèle et cliquez sur « Démarrer le résumé »,Legen Sie die Vorlage fest und klicken Sie auf „Zusammenfassung starten“,Establezca la plantilla y haga clic en «Iniciar resumen»
meetingMinutes.resultPlaceholder,生成された会議議事録がここに表示されます...\n\nテンプレートを設定して【要約開始】をクリックしましょう\n\n📝 利用可能な機能:\n• テンプレート設定\n• AI議事録自動生成\n• テキスト編集・コピー\n• Word文書エクスポート,The generated meeting minutes will be displayed here...\n\nSet the template and click [Start Summary]\n\n📝 Available features:\n• Template settings\n• AI automatic minute generation\n• Text editing and copying\n• Word document export,生成的会议记录将在此处显示...\n\n设置模板后点击【开始摘要】\n\n📝 可用功能：\n• 模板设置\n• AI会议记录自动生成\n• 文本编辑与复制\n• Word文档导出,생성된 회의록이 여기 표시됩니다...\n\n템플릿을 설정하고 [요약 시작]을 클릭하세요\n\n📝 사용 가능한 기능:\n• 템플릿 설정\n• AI 자동 회의록 생성\n• 텍스트 편집 및 복사\n• 워드 문서 수출,Le compte rendu généré s'affichera ici...\n\nDéfinissez le modèle et cliquez sur [Démarrer le résumé]\n\n📝 Fonctionnalités disponibles :\n• Paramètres du modèle\n• Génération automatique du compte rendu par IA\n• Modification et copie du texte\n• Exportation vers un document Word,Das erstellte Protokoll wird hier angezeigt...\n\nLegen Sie die Vorlage fest und klicken Sie auf [Zusammenfassung starten]\n\n📝 Verfügbare Funktionen:\n• Vorlageneinstellungen\n• Automatische Protokollerstellung per KI\n• Textbearbeitung und -kopieren\n• Export als Word-Dokument,Las actas de la reunión generadas se mostrarán aquí...\n\nEstablezca la plantilla y haga clic en [Iniciar resumen]\n\n📝 Funciones disponibles:\n• Configuración de la plantilla\n• Generación automática de actas mediante IA\n• Edición y copia de texto\n• Exportación a documento de Word
meetingMinutes.originalText,原文,Original text,原文,원본 텍스트,Texte original,Originaltext,Texto original
meetingMinutes.textLoaded,原文が読み込まれました,Original text has been loaded,原文已加载,원본 텍스트가 로드되었습니다,Le texte original a été chargé,Der Originaltext wurde geladen,Se ha cargado el texto original
meetingMinutes.noTranscriptionText,文字起こしテキストがありません,No transcription text available,没有文字转录文本,전사 텍스트가 없습니다,Aucun texte de transcription disponible,Kein Transkriptionstext verfügbar,No hay texto transcrito disponible
meetingMinutes.pleaseCompleteTranscription,まず音声文字起こし機能ページで原文を生成してください！,"First, generate the original text on the voice transcription feature page!",请先在语音转录功能页面生成原文！,먼저 음성 전사 기능 페이지에서 원본 텍스트를 생성하세요!,Commencez par générer le texte original sur la page des fonctionnalités de transcription vocale !,Erstellen Sie zunächst den Originaltext auf der Seite mit der Sprach-Transkriptionsfunktion!,"¡Primero, genere el texto original en la página de la función de transcripción de voz!"
meetingMinutes.templateSelection,テンプレート選択,Template selection,模板选择,템플릿 선택,Sélection du modèle,Vorlagenauswahl,Selección de plantilla
meetingMinutes.standardTemplate,標準テンプレート,Standard template,标准模板,표준 템플릿,Modèle standard,Standardvorlage,Plantilla estándar
meetingMinutes.customTemplate,カスタムテンプレート,Custom template,自定义模板,맞춤형 템플릿,Modèle personnalisé,Benutzerdefinierte Vorlage,Plantilla personalizada
meetingMinutes.outlinePreview,アウトラインプレビュー,Outline preview,大纲预览,개요 미리보기,Aperçu du plan,Vorschau der Gliederung,Vista previa del esquema
meetingMinutes.editOutline,アウトライン編集,Outline editing,大纲编辑,개요 편집,Modification du plan,Gliederung bearbeiten,Edición del esquema
meetingMinutes.outlineItemPlaceholder,アウトライン項目を入力,Enter outline items,输入大纲项目,개요 항목 입력,Saisir les éléments du plan,Gliederungspunkte eingeben,Introducir elementos del esquema
meetingMinutes.addOutlineItem,アウトライン項目を追加,Add outline items,添加大纲项目,개요 항목 추가,Ajouter des éléments au plan,Gliederungspunkte hinzufügen,Añadir elementos del esquema
meetingMinutes.emptyOutlineItem,（空の項目）,(Empty items),（空项目）,(빈 항목),(Éléments vides),(Leere Punkte),(Elementos vacíos)
meetingMinutes.generatedSummary,生成された会議議事録,Generated meeting minutes,生成的会议记录,생성된 회의록,Compte rendu de réunion généré,Erstelltes Protokoll,Actas de la reunión generadas
meetingMinutes.summaryGenerated,会議議事録が生成されました,Meeting minutes have been generated,会议记录已生成,회의록이 생성되었습니다,Le compte rendu de réunion a été généré,Das Protokoll wurde erstellt,Se han generado las actas de la reunión
meetingMinutes.summaryPlaceholder,会議議事録がここに表示されます,The meeting minutes will be displayed here,会议记录将在此处显示,회의록이 여기 표시됩니다,Le compte rendu de réunion s'affichera ici,Das Protokoll wird hier angezeigt,Las actas de la reunión se mostrarán aquí
meetingMinutes.editSummaryPlaceholder,会議議事録の内容を編集してください,Edit the contents of the meeting minutes,请编辑会议记录的内容,회의록 내용을 편집하세요,Modifier le contenu du compte rendu de réunion,Bearbeiten Sie den Inhalt des Protokolls,Editar el contenido de las actas de la reunión
meetingMinutes.startGeneration,要約開始,Start summarizing,摘要开始,요약 시작,Commencer le résumé,Zusammenfassung starten,Empezar a resumir
meetingMinutes.generating,会議議事録を生成中...,Generating meeting minutes...,正在生成会议记录...,회의록 생성 중...,Génération du compte rendu de réunion...,Protokoll wird erstellt...,Generando las actas de la reunión...
meetingMinutes.generateError,会議議事録の生成に失敗しました。再試行してください,Failed to generate meeting minutes. Please try again.,会议记录生成失败。请重新尝试,회의록 생성에 실패했습니다. 다시 시도해 주세요.,Échec de la génération du compte rendu de réunion. Veuillez réessayer.,Die Besprechungsprotokolle konnten nicht generiert werden. Bitte versuchen Sie es erneut.,No se han podido generar las actas de la reunión. Inténtelo de nuevo.
meetingMinutes.editText,テキスト編集,Text Editing,文本编辑,텍스트 편집,Modification du texte,Textbearbeitung,Edición de texto
meetingMinutes.noTextWarning,まず音声文字起こし機能ページで原文を生成してください！,"First, generate the original text on the speech-to-text feature page!",请先在语音转文字功能页面生成原文！,먼저 음성 텍스트 변환 기능 페이지에서 원본 텍스트를 생성하세요!,Commencez par générer le texte original sur la page de la fonctionnalité de reconnaissance vocale !,Generieren Sie zunächst den Originaltext auf der Seite mit der Sprach-zu-Text-Funktion!,"En primer lugar, genere el texto original en la página de la función de conversión de voz a texto."
meetingMinutes.pleaseGoToAudioToText,会議議事録機能を使用する前に、音声文字起こし機能ページで文字起こしを完了し、原文を生成する必要があります。,"Before using the meeting minutes feature, you must complete the transcription on the speech-to-text feature page and generate the original text.",使用会议记录功能前，需先在语音转文字功能页面完成转文字并生成原文。,회의록 기능을 사용하기 전에 음성 텍스트 변환 기능 페이지에서 텍스트 변환을 완료하고 원본 텍스트를 생성해야 합니다.,"Avant d'utiliser la fonctionnalité de compte rendu de réunion, vous devez terminer la transcription sur la page de la fonctionnalité de reconnaissance vocale et générer le texte original.","Bevor Sie die Besprechungsprotokollfunktion verwenden können, müssen Sie die Transkription auf der Seite mit der Sprach-zu-Text-Funktion abschließen und den Originaltext generieren.","Antes de utilizar la función de actas de reuniones, debe completar la transcripción en la página de la función de conversión de voz a texto y generar el texto original."
meetingMinutes.goToAudioToText,音声文字起こしへ移動,Go to Speech-to-Text,跳转至语音转文字,음성 텍스트 변환으로 이동,Accéder à la reconnaissance vocale,Gehen Sie zu „Sprach-zu-Text“,Ir a Conversión de voz a texto
meetingMinutes.characters,文字,Text,文字,텍스트,Texte,Text,Texto
meetingMinutes.noOriginalText,原文がありません,No original text available,没有原文,원본 텍스트가 없습니다,Aucun texte original disponible,Kein Originaltext verfügbar,No hay texto original disponible
meetingMinutes.originalTextHint,まず音声文字起こしページで文字起こしを完了してください。原文が生成されると、ここに自動で同期されます。,"First, complete the transcription on the speech-to-text page. Once the original text is generated, it will be automatically synchronized here.",请先在语音转文字页面完成转文字操作。原文生成后将自动同步到此处。,먼저 음성 텍스트 변환 페이지에서 텍스트 변환을 완료하세요. 원본 텍스트가 생성되면 여기에서 자동으로 동기화됩니다.,"Commencez par terminer la transcription sur la page de reconnaissance vocale. Une fois le texte original généré, il sera automatiquement synchronisé ici.","Fertigstellen Sie zunächst die Transkription auf der Seite „Sprache in Text umwandeln“. Sobald der Originaltext generiert wurde, wird er automatisch hier synchronisiert.","En primer lugar, complete la transcripción en la página de conversión de voz a texto. Una vez generado el texto original, se sincronizará automáticamente aquí."
meetingMinutes.goToTranscription,文字起こしへ,Go to transcription,转文字,텍스트 변환으로 이동,Accéder à la transcription,Zur Transkription,Ir a transcripción
meetingMinutes.customTemplates,カスタムテンプレート,Custom template,自定义模板,맞춤형 템플릿,Modèle personnalisé,Benutzerdefinierte Vorlage,Plantilla personalizada
meetingMinutes.addTemplate,テンプレート追加,Add template,添加模板,템플릿 추가,Ajouter un modèle,Vorlage hinzufügen,Añadir plantilla
meetingMinutes.noCustomTemplates,カスタムテンプレートがありません,No custom templates,没有自定义模板,맞춤형 템플릿이 없습니다,Aucun modèle personnalisé,Keine benutzerdefinierten Vorlagen,No hay plantillas personalizadas
meetingMinutes.addTemplateHint,"\テンプレート追加\""をクリックして最初のテンプレートを作成""",Click “Add template” to create your first template.,点击“添加模板”创建第一个模板,“템플릿 추가”를 클릭하여 첫 번째 템플릿을 생성하세요.,Cliquez sur « Ajouter un modèle » pour créer votre premier modèle.,"Klicken Sie auf „Vorlage hinzufügen“, um Ihre erste Vorlage zu erstellen.",Haga clic en «Añadir plantilla» para crear su primera plantilla.
meetingMinutes.saveTemplate,テンプレート保存,Save template,保存模板,템플릿 저장,Enregistrer le modèle,Vorlage speichern,Guardar plantilla
meetingMinutes.templateName,テンプレート名：,Template name:,模板名称：,템플릿 이름:,Nom du modèle :,Name der Vorlage:,Nombre de la plantilla:
meetingMinutes.templateNamePlaceholder,テンプレート名を入力,Enter template name,输入模板名称,템플릿 이름을 입력하세요,Entrer le nom du modèle,Name der Vorlage eingeben,Introduzca el nombre de la plantilla
meetingMinutes.pleaseEnterTemplateName,テンプレート名を入力してください,Please enter the template name.,请输入模板名称,템플릿 이름을 입력해 주세요.,Veuillez entrer le nom du modèle.,Bitte geben Sie den Namen der Vorlage ein.,Introduzca el nombre de la plantilla.
meetingMinutes.confirmDeleteTemplate,このテンプレートを削除してもよろしいですか？,Are you sure you want to delete this template?,是否删除此模板？,이 템플릿을 삭제하시겠습니까?,Êtes-vous sûr de vouloir supprimer ce modèle ?,Möchten Sie diese Vorlage wirklich löschen?,¿Está seguro de que desea eliminar esta plantilla?
meetingMinutes.standardOutline.meetingTopic,会議主題,Meeting subject,会议主题,회의 주제,Objet de la réunion,Betreff der Besprechung,Asunto de la reunión
meetingMinutes.standardOutline.date,日付,Date,日期,날짜,Date,Datum,Fecha
meetingMinutes.standardOutline.participants,参加者,Participants,参与者,참석자,Participants,Teilnehmer,Participantes
meetingMinutes.standardOutline.agendaItems,議題,Agenda,议题,일정,Ordre du jour,Tagesordnung,Orden del día
meetingMinutes.standardOutline.decisionsMade,決定事項,Decisions,决定事项,결정 사항,Décisions,Entscheidungen,Decisiones
meetingMinutes.standardOutline.todoAndSchedule,To-Do及びスケジュール,To-Do and Schedule,待办事项及日程,할 일 및 일정,Tâches et calendrier,Aufgaben und Zeitplan,Tareas pendientes y calendario
meetingMinutes.clearConfirmTitle,記録の消去確認,Confirm deletion of records,记录删除确认,기록 삭제 확인,Confirmer la suppression des enregistrements,Löschen der Datensätze bestätigen,Confirmar eliminación de registros
meetingMinutes.clearConfirmMessage,現在のすべての記録を消去しますか？この操作は取り消すことができません。,Do you want to delete all current records? This operation cannot be undone.,是否删除当前所有记录？此操作无法撤销。,현재 모든 기록을 삭제하시겠습니까? 이 작업은 되돌릴 수 없습니다.,Voulez-vous supprimer tous les enregistrements actuels ? Cette opération ne peut pas être annulée.,Möchten Sie alle aktuellen Datensätze löschen? Dieser Vorgang kann nicht rückgängig gemacht werden.,¿Desea eliminar todos los registros actuales? Esta operación no se puede deshacer.
meetingMinutes.confirmClear,消去確認,Confirm deletion,删除确认,삭제 확인,Confirmer la suppression,Löschen bestätigen,Confirmar eliminación
meetingMinutes.localStorageData,ローカルストレージデータ,Local storage data,本地存储数据,로컬 저장소 데이터,Données de stockage local,Lokale Speicherdaten,Datos almacenados localmente
meetingMinutes.clearError,記録の消去に失敗しました,Failed to delete records,记录删除失败,기록 삭제 실패,Échec de la suppression des enregistrements,Datensätze konnten nicht gelöscht werden,No se han podido eliminar los registros
meetingMinutes.editCurrentTemplate,現在のテンプレートを編集,Edit current template,编辑当前模板,현재 템플릿 편집,Modifier le modèle actuel,Aktuelle Vorlage bearbeiten,Editar plantilla actual
meetingMinutes.selectedTemplatePreview,選択されたテンプレートプレビュー：,Selected template preview:,已选模板预览：,선택한 템플릿 미리보기:,Aperçu du modèle sélectionné :,Vorschau der ausgewählten Vorlage:,Vista previa de la plantilla seleccionada:
meetingMinutes.items,個項目,Individual items,单个项目,개별 항목,Éléments individuels,Einzelne Elemente,Elementos individuales
meetingMinutes.editTemplate,テンプレート編集,Edit template,模板编辑,템플릿 편집,Modifier le modèle,Vorlage bearbeiten,Editar plantilla
meetingMinutes.deleteTemplate,テンプレート削除,Delete template,模板删除,템플릿 삭제,Supprimer le modèle,Vorlage löschen,Eliminar plantilla
meetingMinutes.deleteItem,この項目を削除,Delete this item,删除此项目,이 항목 삭제,Supprimer cet élément,Dieses Element löschen,Eliminar este elemento
pricing.title,料金とサブスクリプション,Pricing and Subscription,费用与订阅,요금 및 구독,Tarifs et abonnement,Preise und Abonnement,Precios y suscripción
pricing.subtitle,あなたに最適なプランを選択してください,Choose the plan that's right for you,选择适合您的计划,귀하에게 맞는 계획을 선택하세요,Choisissez le forfait qui vous convient,Wählen Sie den für Sie passenden Tarif aus.,Elige el plan que más te convenga
pricing.oneTimePurchases,時間プラン,Time Plan,时间计划,시간 계획,Forfait horaire,Zeitplan,Plan de tiempo
pricing.subscriptions,サブスクリプション,Subscription,订阅,구독,Abonnement,Abonnement,Suscripción
pricing.hours,時間,Time,时间,시간,Durée,Zeit,Tiempo
pricing.monthly,月額,Monthly,月费,월별,Mensuel,Monat,Mensual
pricing.annual,年額,Annual,年费,연간,Annuel,Jahr,Anual
pricing.selectPlan,プランを選択,Select a plan,选择计划,플랜 선택,Sélectionnez un forfait,Plan auswählen,Seleccionar un plan
pricing.paymentNotice,お支払いについて,About payment,支付方式,결제 정보,À propos du paiement,Über die Zahlung,Acerca del pago
pricing.mostPopular,人気プラン,Popular plans,热门计划,인기 플랜,Forfaits populaires,Beliebte Pläne,Planes populares
pricing.bestDeal,お得,Great value,超值,우수한 가치,Excellent rapport qualité-prix,Großes Preis-Leistungs-Verhältnis,Excelente relación calidad-precio
pricing.bestValue,コスパ最強,Best value for money,性价比最高,가장 우수한 가성비,Meilleur rapport qualité-prix,Bestes Preis-Leistungs-Verhältnis,La mejor relación calidad-precio
pricing.perHour,時間あたり,Per hour,按小时计费,시간당,À l'heure,Pro Stunde,Por hora
pricing.paymentInfo.currency,価格は日本円（¥税込）で表示されています,Prices are displayed in Japanese yen (¥ including tax),价格以日元（含税）显示,가격은 일본 엔화(¥ 포함 세금)로 표시됩니다,"Les prix sont affichés en yens japonais (¥, taxes comprises)",Die Preise werden in japanischen Yen (¥ inkl. Steuern) angezeigt.,"Los precios se muestran en yenes japoneses (¥, impuestos incluidos)"
pricing.paymentInfo.security,すべてのプランでセキュアな処理とデータプライバシーが含まれます,All plans include secure processing and data privacy,所有计划均包含安全处理和数据隐私保护,모든 플랜에는 안전한 처리 및 데이터 개인정보 보호가 포함됩니다,Tous les forfaits incluent un traitement sécurisé et la confidentialité des données,Alle Pläne umfassen eine sichere Verarbeitung und Datenschutz.,Todos los planes incluyen procesamiento seguro y privacidad de datos
pricing.paymentInfo.oneTime,時間のみを購入した場合、使用期限はなく、累積可能です,"If you purchase time only, there is no expiration date and it can be accumulated",仅购买时间时，无使用期限且可累积,시간만 구매할 경우 유효기간이 없으며 누적 가능합니다,"Si vous achetez uniquement du temps, il n'y a pas de date d'expiration et celui-ci peut être cumulé","Wenn Sie nur Zeit kaufen, gibt es kein Ablaufdatum und die Zeit kann angesammelt werden.","Si solo compra tiempo, no hay fecha de caducidad y se puede acumular"
pricing.paymentInfo.cancellation,サブスクリプションはいつでもキャンセル可能です,Subscriptions can be canceled at any time,订阅可随时取消,구독은 언제든지 취소 가능합니다,Les abonnements peuvent être résiliés à tout moment,Abonnements können jederzeit gekündigt werden.,Las suscripciones se pueden cancelar en cualquier momento
pricing.plans.5hours,5時間,5 hours,5小时,5시간,5 heures,5 Stunden,5 horas
pricing.plans.10hours,10時間,10 hours,10小时,10시간,10 heures,10 Stunden,10 horas
pricing.plans.30hours,30時間,30 hours,30小时,30시간,30 heures,30 Stunden,30 horas
pricing.plans.100hours,100時間,100 hours,100小时,100시간,100 heures,100 Stunden,100 horas
pricing.plans.monthly30,月額（30時間）,Monthly (30 hours),月费（30小时）,월별 (30시간),Mensuel (30 heures),Monatlich (30 Stunden),Mensual (30 horas)
pricing.plans.annual360,年額（360時間）,Annual (360 hours),年费（360小时）,연간 (360시간),Annuel (360 heures),Jährlich (360 Stunden),Anual (360 horas)
usage.title,使用量統計,Usage Statistics,使用量统计,사용 통계,Statistiques d'utilisation,Nutzungsstatistik,Estadísticas de uso
usage.totalQuota,総利用枠,Total Usage Limit,总使用额度,총 사용 한도,Limite d'utilisation totale,Gesamtnutzungslimit,Límite de uso total
usage.usedTime,使用時間,Usage Time,使用时间,사용 시간,Temps d'utilisation,Nutzungszeit,Tiempo de uso
usage.remainingTime,残り時間,Remaining Time,剩余时间,남은 시간,Temps restant,Verbleibende Zeit,Tiempo restante
usage.dailyUsage,日々の使用量,Daily Usage,每日使用量,일일 사용량,Utilisation quotidienne,Tägliche Nutzung,Uso diario
usage.hours,時間,Hours,小时,시간,Heures,Stunden,Horas
usage.minutes,分,Minutes,分钟,분,Minutes,Minuten,Minutos
usage.seconds,秒,Seconds,秒,초,Secondes,Sekunden,Segundos
usage.used,使用済み,Used,已使用,사용된,Utilisé,Verwendet,Usado
usage.duration,時間長,Hours,使用时长,시간,Heures,Stunden,Horas
usage.files,ファイル,Files,文件,파일,Fichiers,Dateien,Archivos
usage.noData,使用データはありません,No data used,无使用数据,사용된 데이터 없음,Aucune donnée utilisée,Keine Daten verwendet,No se han utilizado datos
usage.purchaseCTA,時間を購入 / サブスク登録,Purchase Time / Subscription Registration,购买时间 / 订阅注册,구매 시간 / 구독 등록,Achat de temps / Inscription à l'abonnement,Kaufzeit / Abonnementregistrierung,Comprar tiempo / Registrarse para una suscripción
usage.monthly,月次,Monthly,月度,월별,Mensuel,Monatlich,Mensual
usage.yearly,年次,Annual,年度,연간,Annuel,Jährlich,Anual
usage.trialNote,試用枠が優先的に使用され、その後有料枠が消費されます。,"The trial quota is used first, followed by the paid quota.",试用额度优先使用，随后消耗付费额度。,"무료 체험 한도가 먼저 사용되며, 그 다음 유료 한도가 사용됩니다.","Le quota d'essai est utilisé en premier, suivi du quota payant.","Zuerst wird das Testkontingent verwendet, danach das bezahlte Kontingent.","Primero se utiliza la cuota de prueba y, a continuación, la cuota de pago."
usage.status.guest,ゲスト,Guest,访客,게스트,Invité,Gast,Invitado
usage.status.trial,試用,Trial,试用,트라이얼,Essai,Test,Prueba
usage.status.paid,有料ユーザー,Paid User,付费用户,유료 사용자,Utilisateur payant,Bezahlter Benutzer,Usuario de pago
usage.status.subscription,サブスクリプション,Subscription,订阅,구독,Abonnement,Abonnement,Suscripción
usage.status.unknown,不明,Unknown,未知,알 수 없음,Inconnu,Unbekannt,Desconocido
usage.periods.week,過去7日間,Last 7 days,过去7天,최근 7일,7 derniers jours,Letzte 7 Tage,Últimos 7 días
usage.periods.month,過去30日間,Last 30 days,过去30天,최근 30일,30 derniers jours,Letzte 30 Tage,Últimos 30 días
usage.periods.quarter,過去90日間,Last 90 days,过去90天,최근 90일,90 derniers jours,Letzte 90 Tage,Últimos 90 días
usage.guestNotice.title,登録ユーザーは体験を確認できます,Registered users can view their trial status.,注册用户可查看体验情况,등록된 사용자는 트라이얼 상태를 확인할 수 있습니다.,Les utilisateurs enregistrés peuvent consulter leur statut d'essai.,Registrierte Benutzer können ihren Teststatus einsehen.,Los usuarios registrados pueden ver su estado de prueba.
usage.guestNotice.description,ゲストユーザーは使用量統計を確認できません。この機能をご利用いただくには登録してください。,Guest users cannot view usage statistics. Please register to use this feature.,访客用户无法查看使用量统计。如需使用此功能，请先注册。,게스트 사용자는 사용 통계 정보를 확인할 수 없습니다. 이 기능을 사용하려면 등록해 주세요.,Les utilisateurs invités ne peuvent pas consulter les statistiques d'utilisation. Veuillez vous enregistrer pour utiliser cette fonctionnalité.,"Gastbenutzer können keine Nutzungsstatistiken einsehen. Bitte registrieren Sie sich, um diese Funktion zu nutzen.",Los usuarios invitados no pueden ver las estadísticas de uso. Regístrese para utilizar esta función.
usage.guestNotice.register,今すぐ登録,Register now,立即注册,지금 등록하기,S'enregistrer maintenant,Jetzt registrieren,Regístrese
usage.loginToUnlock,ログイン後、すべての機能が解除されます,All features will be unlocked after logging in.,登录后，所有功能将解锁,로그인 후 모든 기능이 해제됩니다.,Toutes les fonctionnalités seront débloquées après la connexion.,Nach der Anmeldung werden alle Funktionen freigeschaltet.,Todas las funciones se desbloquearán después de iniciar sesión.
auth.welcomeBack,おかえりなさい,Welcome back,欢迎回来,환영합니다,Bienvenue,Willkommen zurück,Bienvenido
auth.createAccount,アカウント作成,Create an account,创建账户,계정 생성,Créer un compte,Konto erstellen,Crear una cuenta
auth.verifyEmail,メール認証,Email verification,邮件验证,이메일 확인,Vérification de l'adresse e-mail,E-Mail-Bestätigung,Verificación de correo
auth.loginSubtitle,すべての機能にアクセスするためにサインインしてください,Please sign in to access all features.,请登录以访问所有功能,모든 기능을 사용하려면 로그인해 주세요.,Veuillez vous connecter pour accéder à toutes les fonctionnalités.,"Bitte melden Sie sich an, um alle Funktionen nutzen zu können.",Inicie sesión para acceder a todas las funciones.
auth.registerSubtitle,全機能を利用するために登録してください,Please register to use all features.,请注册以使用所有功能,모든 기능을 사용하려면 등록해 주세요.,Veuillez vous enregistrer pour utiliser toutes les fonctionnalités.,"Bitte registrieren Sie sich, um alle Funktionen nutzen zu können.",Regístrese para utilizar todas las funciones.
auth.email,メールアドレス,Email address,邮箱地址,이메일 주소,Adresse e-mail,E-Mail-Adresse,Dirección de correo
auth.password,パスワード,Password,密码,비밀번호,Mot de passe,Passwort,Contrase
auth.confirmPassword,パスワード確認,Confirm password,密码确认,비밀번호 확인,Confirmer le mot de passe,Passwort,Confirmar
auth.verificationCode,認証コード,Verification code,验证码,확인 코드,Code de vérification,Bestätigungscode,Código de verificación
auth.emailPlaceholder,メールアドレスを入力してください,Please enter your email address.,请输入您的电子邮件地址,이메일 주소를 입력해 주세요.,Veuillez saisir votre adresse e-mail.,Bitte geben Sie Ihre E-Mail-Adresse ein.,Introduzca su dirección de correo electrónico.
auth.passwordPlaceholder,パスワードを入力してください,Please enter your password.,请输入您的密码,비밀번호를 입력해 주세요.,Veuillez saisir votre mot de passe.,Bitte geben Sie Ihr Passwort ein.,Introduzca su contraseña.
auth.confirmPasswordPlaceholder,パスワードを確認してください,Please confirm your password.,请确认您的密码,비밀번호를 확인해 주세요.,Veuillez confirmer votre mot de passe.,Bitte bestätigen Sie Ihr Passwort.,Confirme su contraseña.
auth.passwordHint,パスワードは6文字以上である必要があります,Passwords must be at least 6 characters long.,密码必须为6个字符或以上,비밀번호는 최소 6자 이상이어야 합니다.,Les mots de passe doivent comporter au moins 6 caractères.,Passwörter müssen mindestens 6 Zeichen lang sein.,Las contraseñas deben tener al menos 6 caracteres.
auth.login,サインイン,Sign in,登录,로그인,Se connecter,Anmelden,Iniciar sesión
auth.register,登録,Register,注册,등록,S'inscrire,Registrieren,Registrarse
auth.verify,メール認証,Email verification,邮件验证,이메일 확인,Vérification de l'adresse e-mail,E-Mail-Bestätigung,Verificación de correo electrónico
auth.continueAsGuest,ゲストとして続行,Continue as a guest,以访客身份继续,게스트로 계속하기,Continuer en tant qu'invité,Als Gast fortfahren,Continuar como invitado
auth.dividerOr,または,Or,或,또는,Ou,Oder,O
auth.noAccount,アカウントをお持ちでないですか？,Don't have an account?,您还没有账户吗？,계정이 없으신가요?,Vous n'avez pas de compte ?,Sie haben noch kein Konto?,¿No tiene una cuenta?
auth.hasAccount,すでにアカウントをお持ちですか？,Already have an account?,您已经拥有账户了吗？,이미 계정이 있으신가요?,Vous avez déjà un compte ?,Sie haben bereits ein Konto?,¿Ya tiene una cuenta?
auth.passwordMismatch,パスワードが一致しません,Passwords do not match.,密码不匹配,비밀번호가 일치하지 않습니다.,Les mots de passe ne correspondent pas.,Die Passwörter stimmen nicht überein.,Las contraseñas no coinciden.
auth.passwordTooShort,パスワードは6文字以上である必要があります,Passwords must be at least 6 characters long.,密码必须为6个字符或以上,비밀번호는 최소 6자 이상이어야 합니다.,Les mots de passe doivent comporter au moins 6 caractères.,Passwörter müssen mindestens 6 Zeichen lang sein.,Las contraseñas deben tener al menos 6 caracteres.
auth.registerSuccess,認証コードがメールに送信されました。メールボックスで確認してください。,A verification code has been sent to your email. Please check your inbox.,验证码已发送至您的邮箱。请在邮箱中确认。,인증 코드가 이메일로 전송되었습니다. 수신함을 확인해 주세요.,Un code de vérification a été envoyé à votre adresse e-mail. Veuillez vérifier votre boîte de réception.,Ein Bestätigungscode wurde an Ihre E-Mail-Adresse gesendet. Bitte überprüfen Sie Ihren Posteingang.,Se ha enviado un código de verificación a su correo electrónico. Compruebe su bandeja de entrada.
auth.verifySuccess,メール確認成功,Email verification successful,邮件验证成功,이메일 인증 성공,Vérification de l'adresse e-mail réussie,E-Mail-Bestätigung erfolgreich,Verificación de correo electrónico correcta
auth.verifyFailed,メール認証に失敗しました。再度お試しください。,Email verification failed. Please try again.,邮件验证失败。请重新尝试。,이메일 인증 실패. 다시 시도해 주세요.,Échec de la vérification de l'adresse e-mail. Veuillez réessayer.,E-Mail-Bestätigung fehlgeschlagen. Bitte versuchen Sie es erneut.,Error en la verificación del correo electrónico. Inténtelo de nuevo.
auth.genericError,エラーが発生しました。再度お試しください。,An error occurred. Please try again.,发生错误。请重新尝试。,오류가 발생했습니다. 다시 시도해 주세요.,Une erreur s'est produite. Veuillez réessayer.,Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut.,Se ha producido un error. Inténtelo de nuevo.
auth.verifyTitle,メールをご確認ください,Please check your email,请查看邮件,이메일을 확인해 주세요,Veuillez vérifier votre adresse e-mail,Bitte überprüfen Sie Ihre E-Mail,Compruebe su correo electrónico
auth.verifyDescription,{{email}}に認証コードを送信しました。以下にコードを入力してください。,An authentication code has been sent to {{email}}. Please enter the code below.,已将验证码发送至{{email}}。请在下方输入代码。,인증 코드가 {{email}}로 전송되었습니다. 아래에 코드를 입력해 주세요.,Un code d'authentification a été envoyé à {{email}}. Veuillez saisir le code ci-dessous.,Ein Authentifizierungscode wurde an {{email}} gesendet. Bitte geben Sie den Code unten ein.,Se ha enviado un código de autenticación a {{email}}. Introduzca el código a continuación.
auth.noVerificationEmail,メールが届いていませんか？,Didn't receive the email?,未收到邮件？,이메일을 받지 못하셨나요?,Vous n'avez pas reçu l'e-mail ?,Sie haben keine E-Mail erhalten?,¿No ha recibido el correo electrónico?
auth.resendVerification,コードを再送信,Resend code,重新发送代码,코드를 다시 전송하세요,Renvoyer le code,Code erneut senden,Reenviar código
auth.verificationResent,認証コードを再送信しました！,The authentication code has been resent!,已重新发送验证码！,인증 코드가 다시 전송되었습니다!,Le code d'authentification a été renvoyé !,Der Authentifizierungscode wurde erneut gesendet!,¡Se ha reenviado el código de autenticación!
